Game Started,MP,FGA,2PA,3PA,FTA,PER,AST%,TOV%,USG%,OWS,ORtg,OBPM,DWS,MP_(POI_Per_Game),FGA_(POI_Per_Game),2PA_(POI_Per_Game),3PA_(POI_Per_Game),FTA_(POI_Per_Game),ORB,DRB,TRB,AST,TOV,PTS,PTS_3,PTS_5,PTS_7,PTS_10,Player,Date2,Opp
1,38.0,17,10,7,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.3,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,16.333333333333332,16.2,16.571428571428573,18.4,Aaron Gordon,2019-02-02,BRK
1,32.0,14,7,7,4,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.5,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,14.0,15.0,15.428571428571429,15.7,Aaron Gordon,2019-02-22,CHI
1,33.0,18,15,3,4,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,1.7,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,14.333333333333334,14.4,15.142857142857142,14.3,Aaron Gordon,2019-04-10,CHO
1,29.0,16,10,6,4,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,0.4,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,14.666666666666666,16.6,16.571428571428573,16.6,Aaron Gordon,2019-03-14,CLE
1,32.0,15,13,2,5,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,2.0,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,16.666666666666668,19.6,17.428571428571427,16.4,Aaron Gordon,2019-03-08,DAL
1,39.0,19,11,8,0,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,4.3,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,12.666666666666666,13.8,16.571428571428573,16.3,Aaron Gordon,2018-12-05,DEN
1,32.0,12,8,4,5,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,5.9,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,10.333333333333334,14.6,15.285714285714286,16.2,Aaron Gordon,2019-03-28,DET
1,36.0,15,10,5,2,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.2,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,16.666666666666668,16.0,15.142857142857142,15.8,Aaron Gordon,2019-02-28,GSW
1,40.0,18,10,8,3,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,3.0,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,18.333333333333332,17.8,19.285714285714285,17.2,Aaron Gordon,2019-01-27,HOU
1,38.0,15,9,6,1,15.1,16.6,12.3,21.8,1.8,107.0,-0.2,4.4,33.8,13.4,9.0,4.4,3.2,1.7,5.7,7.4,3.7,2.1,16.0,15.333333333333334,14.2,16.285714285714285,15.8,Aaron Gordon,2019-03-30,IND
