Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
Marvin Williams,2018-19,32,CHO,NBA,3.8,75,75,2133,12.6,0.586,0.132,3.8,17.1,10.3,6.1,1.6,2.5,6.4,14.9,112,111,1.9,1.9,0.086,-0.2,0.5,0.3,1.3
Cody Zeller,2014-15,22,CHO,NBA,3.8,62,45,1487,14.1,0.003,0.44,7,20.1,13.4,10.9,1.2,2.6,12.2,15.6,108,102,1.6,2.2,0.123,-2.1,2.5,0.4,0.9
Lavoy Allen,2015-16,26,IND,NBA,3.7,79,28,1599,12.4,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,110,104,1.6,2.1,0.11,-2.1,1.4,-0.6,0.6
Carmelo Anthony,2017-18,33,OKC,NBA,3.7,78,78,2501,12.7,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,104,109,1.2,2.5,0.071,-1.9,-1.9,-3.8,-1.1
Ryan Arcidiacono,2018-19,24,CHI,NBA,3.7,81,32,1961,11.6,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12,11.7,121,115,2.8,0.9,0.09,-0.1,-1,-1,0.5
Nicolas Batum,2018-19,30,CHO,NBA,3.7,75,72,2354,11.9,0.53,0.158,3.2,14.9,8.9,14.5,1.5,1.6,16.3,13.2,112,113,2,1.7,0.076,-0.1,0.9,0.8,1.7
Bradley Beal,2014-15,21,WAS,NBA,3.7,63,59,2107,14,0.304,0.195,3.1,9.6,6.4,15,1.8,0.7,11.7,22.5,102,105,1.3,2.4,0.085,0.5,-0.1,0.5,1.3
Marco Belinelli,2017-18,31,TOT,NBA,3.7,80,2,1947,14.1,0.517,0.213,1.1,7.3,4.2,11.9,1.6,0.5,10.1,20.7,111,111,2.4,1.3,0.092,0.8,-2.1,-1.3,0.3
Dewayne Dedmon,2017-18,28,ATL,NBA,3.7,62,46,1542,15.8,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,111,107,1.8,1.9,0.114,-1,1.6,0.5,1
Channing Frye,2016-17,33,CLE,NBA,3.7,74,15,1398,15.6,0.644,0.142,3,19.3,11.4,4.9,1.2,2.1,8.8,19.3,115,109,2.3,1.4,0.125,0.8,-1.5,-0.6,0.5
Marc Gasol,2015-16,31,MEM,NBA,3.7,52,52,1791,17.7,0.004,0.347,3.5,20.2,11.5,18.9,1.4,3.6,12.7,23.4,105,106,1.8,1.9,0.098,-0.7,1.7,1,1.3
Manu Ginobili,2014-15,37,SAS,NBA,3.7,70,0,1587,16.2,0.438,0.346,2,12.8,7.5,28.6,2.2,0.9,18.5,23.9,103,102,1.4,2.3,0.111,1.4,0.3,1.7,1.5
Aaron Gordon,2016-17,21,ORL,NBA,3.7,80,72,2298,14.5,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,107,111,2,1.7,0.077,-0.2,-0.4,-0.7,0.8
Kyle Korver,2016-17,35,TOT,NBA,3.7,67,22,1753,12.1,0.697,0.082,0.5,11,5.8,9.4,1,1,11.5,15.2,116,111,2.3,1.3,0.1,0.8,-1,-0.2,0.8
Wesley Matthews,2015-16,29,DAL,NBA,3.7,78,78,2644,10.9,0.615,0.171,1.1,8.8,4.9,8.9,1.5,0.5,7.8,17.2,105,109,1.9,1.8,0.067,0.8,-0.3,0.5,1.6
Timofey Mozgov,2015-16,29,CLE,NBA,3.7,76,48,1326,14.6,0.019,0.265,9.5,19.2,14.4,3.9,0.9,3.5,15,16.1,112,103,1.8,1.9,0.133,-2.2,1,-1.2,0.3
Lucas Nogueira,2016-17,24,TOR,NBA,3.7,57,6,1088,15.5,0.077,0.429,8.5,16.8,12.7,5.4,2.4,7.1,19.9,9.5,125,102,1.7,2,0.164,-0.1,5.6,5.4,2
Kelly Oubre,2017-18,22,WAS,NBA,3.7,81,11,2231,11.9,0.467,0.295,3,15.4,9.2,6.4,1.8,1.4,9.2,19.4,106,109,1.4,2.3,0.08,-0.8,-0.4,-1.2,0.4
Ricky Rubio,2018-19,28,UTA,NBA,3.7,68,67,1899,14,0.348,0.312,1.9,11.8,6.9,32.1,2.3,0.4,17.8,22.7,105,107,0.9,2.8,0.095,-0.6,0.6,0,0.9
